issue,subject,company,status,product_area,request_type,response,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,escalated,account_access,product_issue,"⚠️ **Why This Needs Human Review**: The issue requires manual intervention to restore access to the Claude team workspace, which cannot be resolved through automated means.

📋 **What To Do Next**: 
- Please contact the Claude Support team via email at [support@claude.com](mailto:support@claude.com) or through the in-app support chat.
- When reaching out, explain the situation, including that your IT admin removed your seat and you lost access to the team workspace.

📝 **Information To Have Ready**:
- Your account details (username and email associated with your Claude account)
- The name of your company and team workspace
- Any relevant order IDs or invoice numbers (if applicable)
- A brief description of the issue and the steps taken by your IT admin

🔗 **Useful Links**: Unfortunately, there are no specific documentation links available for this issue. However, you can visit the Claude support page for general information on getting help.

⏱️ **What To Expect**: Once you've contacted the support team, they will review your case and work with you to restore access to your team workspace as soon as possible. Please allow 24-48 hours for a response, although response times may vary depending on the support team's workload.",User requires admin action to restore their access to the workspace.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,certifications,product_issue,"⚠️ **Why This Needs Human Review**
The user's test score dispute requires a manual review and potential score adjustment, which cannot be automated and needs human evaluation.

📋 **What To Do Next**
To escalate this issue, please contact our Support Team via email at support@hackerrank.com, and provide a clear description of the issue, including the test details and the reason for disputing the score. When reaching out, please mention your HackerRank account ID and the specific test you are disputing, and our team will guide you through the next steps.

📝 **Information To Have Ready**
To expedite the review process, please have the following details ready:
- Your HackerRank account ID or email address associated with the account
- The test ID or name of the certification test you are disputing
- A detailed description of the issues you encountered during the test or the reasons you believe your score should be increased
- Any relevant screenshots or evidence supporting your claim

🔗 **Useful Links**
While there isn't specific documentation for this issue, you can find general information about HackerRank's certification tests and support contact details on our website: https://www.hackerrank.com/

⏱️ **What To Expect**
Once you've contacted our Support Team, they will review your case and may request additional information to investigate further. The resolution process may take several business days, depending on the complexity of the issue. Our team will keep you updated on the progress and notify you of the outcome as soon as possible.","The user is disputing their test score, which requires admin action to review and potentially change the score."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,escalated,fraud,product_issue,"⚠️ **Why This Needs Human Review**
This case requires human review because it involves a dispute over a product delivery and a request for a refund and seller ban, which requires a thorough investigation and evaluation of the situation.

📋 **What To Do Next**
To escalate this issue, please contact our Visa Fraud Department directly via phone at 1-800-VISA-911 (1-800-847-2911) or email at [fraud@visa.com](mailto:fraud@visa.com). When you reach out, please explain the situation and provide the required information (listed below), and our representative will guide you through the next steps and provide further assistance.

📝 **Information To Have Ready**
To facilitate the investigation, please have the following details ready:
- Your Visa account number or card details
- The order ID or transaction ID related to the disputed product
- A detailed description of the issue, including the expected and received products
- Any relevant screenshots, emails, or communication with the seller
- The seller's name and contact information (if available)

🔗 **Useful Links**
Although there is no specific documentation available for this issue, you can visit our official Visa website (www.visa.com) for general information on our fraud protection policies and procedures.

⏱️ **What To Expect**
Once you contact our Fraud Department, a representative will review your case and work with you to resolve the issue. The resolution process may involve investigating the transaction, contacting the seller, and potentially issuing a refund or taking action against the seller. The timeline for resolution may vary depending on the complexity of the case, but our team will keep you informed throughout the process.","The issue requires admin action for a refund and potential seller ban, which falls under the escalate criteria."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,billing,product_issue,"⚠️ **Why This Needs Human Review**
The issue requires a refund and involves a specific product area, billing, which necessitates a personalized review by a human support agent.

📋 **What To Do Next**
To resolve this issue, please contact our billing support team via email at support@hackerrank.com, and provide a clear description of the problem you're facing with the mock interviews and your request for a refund. When emailing, please specify that you are reaching out about a billing issue with your mock interview subscription and would like to request a refund due to the interruption in service.

📝 **Information To Have Ready**
Before contacting the support team, have the following details ready:
- Your HackerRank account details (username or email associated with the account)
- Any relevant order IDs or payment receipts related to the mock interview subscription
- A brief description of when the mock interviews stopped and any error messages you encountered

🔗 **Useful Links**
While there isn't specific documentation available for this issue, you can find general support contact information and FAQs on the HackerRank website.

⏱️ **What To Expect**
After contacting the support team, you can expect a response within a few business days, during which they will review your request and work with you to resolve the issue. The resolution process may involve verifying your account and payment details, investigating the cause of the interruption, and processing your refund if approved.","The user is experiencing a product issue with mock interviews and is requesting a refund, which requires admin action."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,escalated,billing,product_issue,"⚠️ **Why This Needs Human Review**
This issue requires human review because it involves a specific payment issue with an order ID that needs to be investigated and resolved by a support agent.

📋 **What To Do Next**
To resolve this issue, please contact our billing support team via email at support@hackerrank.com, and provide the details of the issue. When you reach out, please mention the order ID cs_live_abcdefgh and a brief description of the payment issue you are experiencing. You can also reply to this ticket and we will escalate it to our billing team for further assistance.

📝 **Information To Have Ready**
To help us resolve the issue quickly, please have the following details ready:
- Order ID: cs_live_abcdefgh
- Description of the payment issue
- Any relevant screenshots or error messages
- Your account details, including your username and email address associated with the account

🔗 **Useful Links**
Unfortunately, there is no specific documentation available for this issue. However, you can visit our support page (https://www.hackerrank.com/support) for general information on how to contact our support team.

⏱️ **What To Expect**
Once you have contacted our billing support team, they will investigate the issue and work with you to resolve it as quickly as possible. Please allow 24-48 hours for a response, although we strive to respond to all inquiries in a timely manner.","The user is experiencing a payment issue, which requires admin action and is related to billing."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,infosec,product_issue,"⚠️ **Why This Needs Human Review**
The user requires personalized guidance on the InfoSec process for their company, which involves filling out forms to start using HackerRank for hiring, and this cannot be fully addressed through automated support.

📋 **What To Do Next**
To get assistance with the InfoSec process, please contact the HackerRank Support Team directly:
- Email: support@hackerrank.com
- When reaching out, please mention that you need help with the InfoSec process for your company and provide the necessary details (listed below) so that the support team can efficiently assist you.

📝 **Information To Have Ready**
Before contacting the support team, please have the following details ready:
- Your company name and a brief description of your hiring needs
- The specific forms you are having trouble with or any questions you have about the InfoSec process
- Any relevant account details or previous communications with HackerRank

🔗 **Useful Links**
While there is no specific documentation available for this issue, you can visit the HackerRank website (https://www.hackerrank.com/) for general information on their services and support options.

⏱️ **What To Expect**
After contacting the support team, you can expect a response within a timeframe that depends on the team's current workload, typically within 24-48 hours. They will guide you through the InfoSec process, help with filling out the necessary forms, and ensure that your company can start using HackerRank for hiring purposes as smoothly as possible.","The user requires assistance with the InfoSec questionnaire filling process, which is an action that requires escalation."
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,replied,bug,product_issue,"👋 I understand that you're experiencing issues with the apply tab and submissions not working for practice on the HackerRank platform, and I'm here to help you resolve this problem.

✅ **Solution / Steps**
To troubleshoot the issue, follow these steps:
1. Ensure you are logged in to the correct account and have the necessary permissions to access the apply tab.
2. Check if you have any pending or incomplete tests, as this might affect the visibility of the apply tab.
3. Clear your browser cache and try accessing the apply tab again.
4. If the issue persists, try using a different browser or device to rule out any browser-specific issues.
5. If you're still unable to see the apply tab or submit your practice tests, proceed to the next step.

🔗 **Relevant Links**
For more information on navigating the HackerRank platform, you can refer to the [Ashby](https://support.hackerrank.com/articles/9896080715-ashby-integration-with-hackerrank) or [Avature](https://support.hackerrank.com/articles/7339966937-avature---hackerrank-integration) articles, although they may not directly address your issue.

⚡ **Next Steps / Fallback**
If the above steps don't resolve the issue, please submit a request to the HackerRank support team by selecting **Support** in the footer of the HackerRank for Work platform or by sending an email to [support@hackerrank.com](mailto:support@hackerrank.com). If you're a candidate, you can also email [candidate-care@hackerrank.com](mailto:candidate-care@hackerrank.com) for assistance. Have your account details and a description of the issue ready when reaching out to support for a quicker resolution.",This is a technical troubleshooting issue that can be resolved with single user assistance.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,bug,bug,"⚠️ **Why This Needs Human Review**
The issue of submissions not working across any challenges on the HackerRank website is a technical problem that requires personalized assistance from a support specialist to troubleshoot and resolve.

📋 **What To Do Next**
To get help with this issue, please contact HackerRank's support team directly:
- You can reach out to them via email at support@hackerrank.com.
- When you contact them, please explain the issue you're experiencing with submissions not working, including any error messages you've seen, and the steps you've taken so far to try and resolve the problem.

📝 **Information To Have Ready**
Before contacting the support team, make sure you have the following details ready:
- Your HackerRank account details (username or email address associated with your account).
- A detailed description of the issue, including any error messages you've encountered.
- The browser and device you're using to access the HackerRank website.
- Any recent changes you've made to your account or browser settings.

🔗 **Useful Links**
Although there's no specific documentation available for this issue, you can visit the HackerRank Help Center (https://www.hackerrank.com/help) for general troubleshooting tips and FAQs.

⏱️ **What To Expect**
Once you've contacted the support team, they will review your issue and work with you to troubleshoot and resolve the problem as soon as possible. The resolution process may involve additional questions, troubleshooting steps, or potential updates to the website to address the issue.","The issue affects the core functionality of the platform, requiring admin attention to resolve."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,replied,test_management,bug,"👋 I understand that you're experiencing Zoom connectivity issues during a compatibility check, which is preventing you from taking a test on HackerRank, and I'm here to help you resolve this issue.

✅ **Solution / Steps**
To troubleshoot the Zoom connectivity issue, follow these steps:
1. Ensure you're using a **supported browser** by checking the [browser recommendations for HackerRank interviews](https://candidatesupport.hackerrank.com/articles/8455316478-browser-recommendations-for-hackerrank-interviews).
2. Run the **System Compatibility Check** at [https://www.hackerrank.com/compatibility](https://www.hackerrank.com/compatibility) to identify any browser, network, or device issues that might be causing the problem.
3. If you're using the HackerRank Desktop App, refer to the [Attempting Tests Using the HackerRank Desktop App](https://candidatesupport.hackerrank.com/articles/5105545533-attempting-tests-using-hackerrank-desktop-appp) article for setup instructions and troubleshooting tips.
4. Verify your **network stability**, **camera and microphone setup**, and **system permissions** for proctoring or IDE features, as these can affect your test-taking experience.

🔗 **Relevant Links**
For more information on the latest updates and releases, see the [HackerRank release notes](https://support.hackerrank.com/collections/7394145945-release-notes).

⚡ **Next Steps / Fallback**
If the issue persists after following these steps, please contact [support@hackerrank.com](mailto:support@hackerrank.com) and include your interview link for further assistance. Make sure to have the following information ready: your interview link, a detailed description of the issue, and any error messages you've encountered. The support team will be happy to help you resolve the issue and get you back on track with your test.","The user's issue is a technical troubleshooting problem that can be addressed with support, rather than requiring admin action or escalation."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",nan,HackerRank,escalated,test_management,product_issue,"⚠️ **Why This Needs Human Review**
The user's request to reschedule a HackerRank assessment due to unforeseen circumstances requires a personalized review and accommodation that cannot be automated.

📋 **What To Do Next**
To request a rescheduling of your assessment, please contact HackerRank Support via email at support@hackerrank.com, and provide a clear explanation of your situation, including the reason for the reschedule request and your availability for an alternative assessment time. You can also try reaching out to your test administrator or the person who invited you to the assessment for assistance.

📝 **Information To Have Ready**
When contacting support, please have the following details ready:
- Your HackerRank account email or username
- The assessment name or ID
- The original scheduled date and time of the assessment
- A brief description of the unforeseen circumstances that require the reschedule
- Your preferred alternative dates and times for the assessment

🔗 **Useful Links**
Although there is no specific documentation available for this issue, you can visit the HackerRank Support page for general information on how to contact support and what to expect from the support process.

⏱️ **What To Expect**
Once you've contacted support, a representative will review your request and respond with a decision on your rescheduling request as soon as possible. Please allow 24-48 hours for a response, and be prepared to provide additional information if needed to facilitate your request.","The user is requesting to reschedule an employer-set assessment, which requires admin action."
